"word";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"doit";443;11;19;28;12;10;22;13;12;18;14;22;11;3;12;8;7;14;7;9;18;21;12;11;11;13;23;14;10;17;17;5;7;12
"leur";435;6;20;6;32;3;8;20;6;9;30;22;5;1;9;10;14;21;18;12;17;18;17;6;12;13;27;9;11;9;16;14;8;6
"comment";434;7;1;13;11;3;12;5;24;22;18;17;29;6;11;5;10;19;22;7;19;12;11;19;11;10;16;13;18;17;15;10;12;9
"vient";432;1;5;13;22;4;12;14;11;23;18;18;16;10;24;10;13;20;20;12;15;17;18;15;13;11;13;8;9;23;5;5;7;7
"ciel";423;1;11;13;13;5;6;15;13;14;17;12;26;0;4;2;6;14;13;2;30;7;18;21;17;14;35;16;11;22;18;6;5;16
"yeux";420;9;12;22;18;14;16;25;9;7;20;5;11;4;13;7;8;13;15;6;20;12;22;21;8;14;10;11;15;14;10;13;1;15
"aux";413;7;14;11;17;10;14;16;6;11;30;27;9;2;15;1;3;7;10;10;13;8;11;26;17;17;10;17;20;19;13;10;6;6
"ont";411;6;16;13;11;3;10;14;7;17;19;21;11;2;12;6;6;21;16;11;17;16;21;5;8;12;20;13;18;18;17;9;10;5
"vais";409;3;9;23;16;17;12;6;28;9;6;9;9;5;14;12;17;18;13;14;11;26;15;10;7;17;16;12;14;8;6;8;10;9
"chez";407;2;2;22;9;0;5;1;31;25;6;11;25;5;17;8;11;10;25;7;3;14;4;13;12;9;17;24;29;22;12;7;12;7
"jour";404;5;25;14;15;11;10;19;11;10;8;11;9;8;7;4;9;11;16;0;13;6;22;17;21;23;21;12;12;12;12;8;11;11
"encor";403;0;3;5;11;0;1;4;15;8;1;2;24;10;28;10;18;0;16;9;15;25;16;28;19;22;26;22;10;13;17;10;8;7
"là";400;4;2;14;21;3;5;9;20;24;2;24;11;23;27;10;13;1;13;5;7;13;15;24;13;24;14;18;9;5;8;8;5;6
"âme";395;1;35;15;20;8;18;15;13;11;5;6;16;1;2;0;2;2;9;2;13;3;21;9;9;23;13;16;9;26;26;14;12;20
