"frlemma";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"nécessaire";90;0;4;2;3;2;4;2;3;1;3;6;2;1;2;0;3;12;6;5;3;1;3;1;2;1;4;2;3;2;3;2;2;0
"colère";89;0;0;1;2;2;0;8;4;4;4;1;5;3;4;3;6;1;1;0;1;1;3;4;1;5;2;1;3;3;7;2;3;4
"comment";89;2;1;1;0;0;2;0;5;4;3;0;7;3;5;3;4;6;2;2;7;3;3;3;1;3;2;2;4;4;3;1;2;1
"deux";89;0;3;1;0;1;5;0;2;2;3;1;4;4;4;5;9;3;2;4;3;3;3;2;0;1;1;5;2;5;7;1;2;1
"maison";87;1;3;3;2;1;0;1;1;4;0;2;4;0;2;0;1;2;5;1;0;0;1;0;2;1;3;6;12;8;5;6;9;1
"soin";87;0;2;4;3;2;4;1;2;2;1;1;4;0;1;1;0;6;4;2;6;5;4;3;3;1;5;3;3;3;2;2;6;1
"cruel";86;1;6;6;1;1;1;4;3;0;3;0;0;1;3;2;1;6;5;8;5;9;0;3;0;2;2;1;1;2;3;2;1;3
"mien";86;0;4;5;3;0;2;2;3;6;4;3;3;1;9;1;0;3;5;3;6;6;1;0;0;2;2;2;1;4;2;0;2;1
"aller";85;0;0;5;2;0;1;0;10;2;1;7;5;4;3;4;2;2;3;3;2;6;1;0;2;1;1;4;3;2;2;1;1;5
"charmant";85;5;2;6;0;4;3;2;3;4;9;3;1;1;8;1;7;0;0;0;4;2;3;0;3;2;2;2;1;1;1;0;2;3
"fort";85;0;9;3;6;1;2;1;4;5;0;0;1;0;2;3;0;2;7;0;2;2;2;1;5;4;7;5;4;0;2;1;2;2
"pouvoir";85;0;2;4;2;1;2;2;5;4;4;3;4;0;3;0;4;6;4;2;3;3;2;1;4;4;2;1;3;4;2;0;1;3
"marier";82;1;0;4;0;1;0;0;3;3;0;2;3;0;1;3;2;0;3;8;1;0;4;9;1;1;2;4;2;8;2;3;6;5
"cher";81;0;2;4;3;2;1;1;2;0;1;6;2;0;0;0;1;2;11;0;9;6;5;1;0;1;3;0;4;5;2;0;3;4
"gloire";81;0;5;2;7;1;5;4;0;0;0;7;0;0;3;1;1;4;4;2;6;6;5;1;1;3;1;3;1;2;3;2;0;1
"homme";81;3;0;2;4;1;2;0;5;3;2;6;0;0;6;2;2;1;2;4;0;1;3;2;2;2;1;12;4;2;1;2;2;2
"loi";81;1;4;5;0;1;1;4;1;1;4;1;1;0;1;2;1;2;6;1;5;6;5;1;2;2;3;5;2;5;2;1;0;5
